"x" "y"
"1" -0.52 1
"2" 0.06 1
"3" -0.49 0
"4" -0.33 1
"5" -1.96 0
"6" 0.13 1
"7" -0.27 1
"8" -1.63 1
"9" 0.22 1
"10" 0.36 1
"11" -1.73 0
"12" -1.81 0
"13" -1.38 1
"14" -0.21 1
"15" -1.31 0
"16" 1.87 1
"17" -0.76 1
"18" 0.46 1
"19" -0.28 0
"20" -0.86 0
"21" -0.63 1
"22" -0.45 1
"23" 1.87 1
"24" -0.71 1
"25" 0.61 1
"26" -0.87 0
"27" 1.15 1
"28" 0.38 1
"29" -1.77 0
"30" 0.04 0
"31" -0.14 1
"32" -0.12 1
"33" -0.56 1
"34" 0.85 1
"35" -1.53 0
"36" 1.14 1
"37" 0.57 1
"38" 1.22 1
"39" 0.56 1
"40" -0.69 0
"41" 0.54 1
"42" 1.71 1
"43" 0.3 1
"44" -0.53 1
"45" -0.25 0
"46" 1.42 1
"47" 0.51 0
"48" 1.18 1
"49" 0.9 1
"50" 0.34 1
