"x" "y"
"1" -0.97 10
"2" -0.87 9
"3" 0.91 60
"4" -0.83 9
"5" -0.42 2
"6" 0.76 36
"7" -0.75 7
"8" -0.65 7
"9" -0.12 2
"10" 0.81 30
"11" 0.7 27
"12" 0.47 11
"13" 0.15 4
"14" -0.04 8
"15" -0.34 4
"16" -0.68 4
"17" -0.04 3
"18" -0.59 4
"19" 0.36 6
"20" -0.27 1
"21" -0.3 4
"22" -0.88 9
"23" -0.03 3
"24" -0.2 6
"25" -0.97 11
"26" -0.75 8
"27" -0.2 6
"28" 0.01 3
"29" -0.34 3
"30" -0.18 6
"31" -0.6 1
"32" 0.63 19
"33" 0.28 5
"34" -0.45 6
"35" -0.79 5
"36" -0.49 5
"37" -0.88 7
"38" -0.51 6
"39" -0.57 6
"40" -0.01 4
"41" 0.31 7
"42" -0.34 3
"43" 0.73 25
"44" 0.28 8
"45" -0.97 8
"46" 0.06 5
"47" 0.67 27
"48" 0.01 4
"49" 0.2 10
"50" -0.15 4
