"dim_1" "dim_2" "dim_3"
"sample_1" 1 7 25
"sample_2" 8 4 15
"sample_3" 2 16 8
"sample_4" 8 2 18
"sample_5" 6 20 7
"sample_6" 6 16 7
"sample_7" 3 14 6
"sample_8" 9 4 15
"sample_9" 3 17 24
"sample_10" 4 16 6
"sample_11" 6 14 8
"sample_12" 8 1 16
"sample_13" 4 17 7
"sample_14" 7 7 22
"sample_15" 8 6 15
"sample_16" 2 19 2
"sample_17" 3 14 5
"sample_18" 8 5 16
"sample_19" 8 5 17
"sample_20" 9 5 12
"sample_21" 8 5 12
"sample_22" 0 13 22
"sample_23" 9 6 10
"sample_24" 6 3 17
"sample_25" 6 15 5
"sample_26" 10 4 15
"sample_27" 8 5 15
"sample_28" 9 8 15
"sample_29" 6 15 3
"sample_30" 3 9 23
"sample_31" 6 19 7
"sample_32" 7 4 19
"sample_33" 8 3 13
"sample_34" 5 18 7
"sample_35" 3 9 22
"sample_36" 7 5 20
"sample_37" 5 14 6
"sample_38" 9 3 13
"sample_39" 9 2 20
"sample_40" 9 6 15
"sample_41" 1 11 22
"sample_42" 5 19 5
"sample_43" 6 17 3
"sample_44" 9 2 14
"sample_45" 9 6 12
"sample_46" 2 18 8
"sample_47" 9 4 13
"sample_48" 10 7 19
"sample_49" 10 4 17
"sample_50" 10 4 13
"sample_51" 10 7 14
"sample_52" 8 7 15
"sample_53" 3 9 23
"sample_54" 9 5 14
"sample_55" 10 5 14
"sample_56" 5 15 3
"sample_57" 9 2 13
"sample_58" 4 16 6
"sample_59" 0 10 25
"sample_60" 7 3 15
"sample_61" 10 3 13
"sample_62" 2 10 25
"sample_63" 8 4 11
"sample_64" 1 11 22
"sample_65" 4 18 6
"sample_66" 6 18 6
"sample_67" 9 6 14
"sample_68" 10 3 14
"sample_69" 7 1 14
"sample_70" 9 5 11
"sample_71" 7 1 15
"sample_72" 8 5 13
"sample_73" 7 2 16
"sample_74" 7 6 10
"sample_75" 6 17 8
"sample_76" 9 5 16
"sample_77" 0 12 23
"sample_78" 8 3 16
"sample_79" 10 4 12
